Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)"
1,0,0,0,1731607770509,1731607770819,0
2,0,10000,2000,1731607775698,1731607776090,11071025
3,0,16000,2000,1731607780725,1731607780973,20720128
4,0,24000,2000,1731607785734,1731607785824,30315401
5,0,32000,2000,1731607790752,1731607791022,40608970
6,0,38000,2000,1731607795762,1731607795991,50452067
7,0,46000,2000,1731607800781,1731607801100,60579990
8,0,54000,2000,1731607805766,1731607806051,70425103
9,0,62000,2000,1731607810749,1731607811147,80550857
10,0,68000,2000,1731607815762,1731607815983,73902660
11,0,76000,2000,1731607820771,1731607821091,84022350
12,0,84000,2000,1731607825788,1731607826042,93822330
13,0,92000,2000,1731607830797,1731607831147,103934229
14,0,100000,2000,1731607835785,1731607836082,113714666
15,0,106000,2000,1731607840811,1731607841131,123727649
16,0,114000,2000,1731607845843,1731607845917,133217298
17,0,122000,2000,1731607850862,1731607851110,143522969
18,0,126000,2000,1731607855834,1731607856046,137084897
19,0,124000,2000,1731607860839,1731607860917,146729009
20,0,122000,2000,1731607865823,1731607866127,157051171
21,0,120000,2000,1731607870804,1731607871029,166761004
22,0,118000,2000,1731607875855,1731607876106,176826777
23,0,116000,2000,1731607880848,1731607881086,186707652
24,0,114000,2000,1731607885811,1731607886060,196582096
25,0,112000,2000,1731607890823,1731607891023,206428137
26,0,110000,2000,1731607895853,1731607895937,199956404
27,0,108000,2000,1731607900833,1731607901134,210299692
28,0,106000,2000,1731607905851,1731607906073,220071832
29,0,104000,2000,1731607910915,1731607911282,230385395
30,0,102000,2000,1731607915881,1731607916163,240070618
31,0,100000,2000,1731607920864,1731607921173,250009655
32,0,98000,2000,1731607925838,1731607926075,259725849
33,0,96000,2000,1731607930823,1731607931006,269479903
34,0,94000,2000,1731607935837,1731607936057,263272218
35,0,92000,2000,1731607940857,1731607940931,272917760
36,0,90000,2000,1731607945840,1731607946051,283061571
37,0,88000,2000,1731607950882,1731607951094,293063671
38,0,86000,2000,1731607955895,1731607956094,302980731
39,0,84000,2000,1731607960840,1731607961109,312934427
40,0,82000,2000,1731607965860,1731607966062,322770077
41,0,80000,2000,1731607970860,1731607971083,332735425
42,0,78000,2000,1731607975829,1731607976040,326364914
43,0,76000,2000,1731607980881,1731607981128,336454513
44,0,74000,2000,1731607985857,1731607986184,346487816
45,0,72000,2000,1731607990870,1731607991083,356208936
46,0,70000,2000,1731607995852,1731607996140,366246820
47,0,68000,2000,1731608000876,1731608001066,376025325
48,0,66000,2000,1731608005864,1731608006187,386202737
49,0,64000,2000,1731608010898,1731608011130,396020393
50,0,62000,2000,1731608015929,1731608016148,389761650
51,0,60000,2000,1731608020916,1731608021129,399632090
52,0,58000,2000,1731608025848,1731608026091,409473694
53,0,56000,2000,1731608030873,1731608031268,419745361
54,0,54000,2000,1731608035906,1731608036217,429569861
55,0,52000,2000,1731608040922,1731608041238,439549502
56,0,50000,2000,1731608045935,1731608046191,449376831
57,0,48000,2000,1731608050907,1731608051278,459484488
58,0,46000,2000,1731608055883,1731608056200,453018830
59,0,44000,2000,1731608060891,1731608061190,462909475
60,0,42000,2000,1731608065850,1731608066074,472599099
61,0,40000,2000,1731608070908,1731608071301,482971524
62,0,38000,2000,1731608075938,1731608076018,492335362
63,0,36000,2000,1731608080989,1731608081260,502750566
64,0,34000,2000,1731608085923,1731608085997,512147477
65,0,32000,2000,1731608090890,1731608091212,522510719
66,0,30000,2000,1731608095886,1731608096097,515997931
67,0,28000,2000,1731608100889,1731608101185,526094089
68,0,26000,2000,1731608105890,1731608106104,535839732
69,0,24000,2000,1731608110918,1731608111125,545809727
70,0,22000,2000,1731608115887,1731608116379,556239963
71,0,20000,2000,1731608120890,1731608121206,565829230
72,0,18000,2000,1731608125914,1731608126200,575750491
73,0,16000,2000,1731608130866,1731608131153,585585785
74,0,14000,2000,1731608135968,1731608136305,579618148
75,0,12000,2000,1731608140944,1731608141025,589005738
76,0,10000,2000,1731608145957,1731608146219,599324390
77,0,8000,2000,1731608150920,1731608151152,609126664
78,0,6000,2000,1731608155906,1731608155984,618713557
79,0,4000,2000,1731608160903,1731608161301,629274271
80,0,2000,2000,1731608165898,1731608166202,639002716
81,0,0,2000,1731608170927,1731608171264,649073567
82,0,0,0,1731608175562,1731608175769,0
83,0,0,0,1731608180562,1731608180798,0
84,0,0,0,1731608185563,1731608185754,0
